Find 13459 frequent item sets !!!
Including 157 1-item frequent set
rubbing alcohol, support: 10
other vegetables, sausage, soft cheese, support: 18
rolls/buns, whole milk, soft cheese, support: 19
other vegetables, rolls/buns, soft cheese, support: 21
rolls/buns, soft cheese, yogurt, support: 21
other vegetables, soft cheese, yogurt, support: 28
whole milk, soft cheese, yogurt, support: 34
other vegetables, whole milk, soft cheese, support: 34
pot plants, butter, whole milk, support: 10
pot plants, whole milk, brown bread, support: 10
pot plants, whole milk, bottled beer, support: 10
whipped/sour cream, pot plants, whole milk, support: 11
pot plants, whole milk, pip fruit, support: 10
pot plants, other vegetables, citrus fruit, support: 10
pot plants, whole milk, citrus fruit, support: 11
pot plants, whole milk, pastry, support: 10
pot plants, whole milk, fruit/vegetable juice, support: 12
pot plants, soda, bottled water, support: 10
pot plants, whole milk, bottled water, support: 15
pot plants, soda, whole milk, support: 15
pot plants, whole milk, rolls/buns, support: 17
pot plants, tropical fruit, yogurt, support: 11
pot plants, tropical fruit, other vegetables, support: 17
pot plants, whole milk, tropical fruit, support: 19
pot plants, other vegetables, yogurt, support: 12
pot plants, whole milk, yogurt, support: 20
pot plants, whole milk, other vegetables, support: 24
flour, hygiene articles, whole milk, support: 10
flour, coffee, whole milk, support: 10
flour, whole milk, oil, support: 13
flour, whole milk, chicken, support: 10
flour, other vegetables, chicken, support: 11
flour, baking powder, sugar, support: 10
flour, whole milk, shopping bags, support: 11
flour, whole milk, frankfurter, support: 10
flour, other vegetables, pork, support: 10
flour, butter, other vegetables, support: 10
flour, butter, whole milk, support: 11
flour, pip fruit, yogurt, support: 10
flour, whole milk, pip fruit, support: 12
flour, other vegetables, fruit/vegetable juice, support: 11
flour, fruit/vegetable juice, yogurt, support: 13
flour, other vegetables, pastry, support: 12
flour, whole milk, pastry, support: 12
flour, margarine, bottled water, support: 10
flour, whole milk, bottled water, support: 12
flour, bottled water, yogurt, support: 12
flour, rolls/buns, beef, support: 10
flour, whole milk, beef, support: 10
flour, other vegetables, beef, support: 10
flour, citrus fruit, beef, support: 10
flour, root vegetables, beef, support: 13
flour, other vegetables, soda, support: 10
flour, soda, sugar, support: 11
flour, soda, whole milk, support: 12
flour, other vegetables, curd, support: 10
flour, yogurt, curd, support: 11
flour, sugar, curd, support: 11
flour, whipped/sour cream, curd, support: 13
flour, whole milk, curd, support: 17
flour, tropical fruit, yogurt, support: 14
flour, margarine, tropical fruit, support: 14
flour, whole milk, tropical fruit, support: 16
flour, other vegetables, tropical fruit, support: 18
flour, citrus fruit, yogurt, support: 10
flour, citrus fruit, sugar, support: 10
flour, citrus fruit, whipped/sour cream, support: 10
flour, citrus fruit, root vegetables, support: 10
flour, citrus fruit, margarine, support: 10
flour, citrus fruit, rolls/buns, support: 11
flour, citrus fruit, whole milk, support: 16
flour, citrus fruit, other vegetables, support: 17
flour, other vegetables, domestic eggs, support: 10
flour, whole milk, domestic eggs, support: 16
flour, rolls/buns, yogurt, support: 11
flour, root vegetables, rolls/buns, support: 12
flour, other vegetables, rolls/buns, support: 19
flour, whole milk, rolls/buns, support: 20
flour, margarine, rolls/buns, support: 10
flour, margarine, whipped/sour cream, support: 11
flour, margarine, other vegetables, support: 14
flour, margarine, sugar, support: 16
flour, margarine, yogurt, support: 17
flour, margarine, whole milk, support: 19
flour, whipped/sour cream, sugar, support: 10
flour, whipped/sour cream, yogurt, support: 16
flour, whipped/sour cream, root vegetables, support: 17
flour, whipped/sour cream, other vegetables, support: 18
flour, whipped/sour cream, whole milk, support: 25
flour, root vegetables, sugar, support: 14
flour, root vegetables, yogurt, support: 17
flour, other vegetables, root vegetables, support: 23
flour, root vegetables, whole milk, support: 29
flour, yogurt, sugar, support: 13
flour, whole milk, yogurt, support: 25
flour, other vegetables, yogurt, support: 27
flour, other vegetables, sugar, support: 14
flour, whole milk, sugar, support: 28
flour, other vegetables, whole milk, support: 37
dishes, butter, whole milk, support: 11
dishes, domestic eggs, other vegetables, support: 11
dishes, pork, other vegetables, support: 10
dishes, pastry, other vegetables, support: 12
dishes, whole milk, tropical fruit, support: 10
dishes, whole milk, citrus fruit, support: 10
dishes, whole milk, bottled water, support: 10
dishes, bottled water, rolls/buns, support: 10
dishes, soda, whole milk, support: 11
dishes, soda, other vegetables, support: 13
dishes, root vegetables, whole milk, support: 12
dishes, root vegetables, other vegetables, support: 17
other vegetables, dishes, napkins, support: 10
dishes, whole milk, napkins, support: 11
dishes, rolls/buns, napkins, support: 11
dishes, whole milk, rolls/buns, support: 13
other vegetables, dishes, rolls/buns, support: 14
dishes, whole milk, yogurt, support: 13
dishes, other vegetables, yogurt, support: 14
dishes, whole milk, other vegetables, support: 26
domestic eggs, tropical fruit, semi-finished bread, support: 10
whole milk, brown bread, semi-finished bread, support: 10
pork, tropical fruit, semi-finished bread, support: 10
pork, whole milk, semi-finished bread, support: 10
other vegetables, pork, semi-finished bread, support: 14
margarine, tropical fruit, semi-finished bread, support: 10
margarine, whole milk, semi-finished bread, support: 10
whole milk, semi-finished bread, curd, support: 10
other vegetables, semi-finished bread, curd, support: 12
frankfurter, other vegetables, semi-finished bread, support: 10
whole milk, semi-finished bread, frozen vegetables, support: 10
other vegetables, semi-finished bread, frozen vegetables, support: 11
tropical fruit, semi-finished bread, frozen vegetables, support: 12
other vegetables, root vegetables, semi-finished bread, support: 11
root vegetables, whole milk, semi-finished bread, support: 14
other vegetables, citrus fruit, semi-finished bread, support: 10
citrus fruit, whole milk, semi-finished bread, support: 13
tropical fruit, fruit/vegetable juice, semi-finished bread, support: 10
other vegetables, fruit/vegetable juice, semi-finished bread, support: 12
whole milk, fruit/vegetable juice, semi-finished bread, support: 15
whipped/sour cream, semi-finished bread, yogurt, support: 10
whipped/sour cream, tropical fruit, semi-finished bread, support: 11
whipped/sour cream, whole milk, semi-finished bread, support: 13
other vegetables, whipped/sour cream, semi-finished bread, support: 15
other vegetables, bottled water, semi-finished bread, support: 10
bottled water, semi-finished bread, yogurt, support: 11
newspapers, other vegetables, semi-finished bread, support: 12
newspapers, whole milk, semi-finished bread, support: 13
sausage, tropical fruit, semi-finished bread, support: 11
sausage, whole milk, semi-finished bread, support: 11
other vegetables, sausage, semi-finished bread, support: 14
soda, shopping bags, semi-finished bread, support: 10
whole milk, shopping bags, semi-finished bread, support: 12
other vegetables, pastry, semi-finished bread, support: 10
pastry, semi-finished bread, yogurt, support: 10
soda, pastry, semi-finished bread, support: 10
tropical fruit, pastry, semi-finished bread, support: 10
whole milk, pastry, semi-finished bread, support: 18
rolls/buns, semi-finished bread, yogurt, support: 10
other vegetables, rolls/buns, semi-finished bread, support: 12
rolls/buns, tropical fruit, semi-finished bread, support: 12
rolls/buns, whole milk, semi-finished bread, support: 18
soda, semi-finished bread, yogurt, support: 11
tropical fruit, semi-finished bread, yogurt, support: 16
whole milk, semi-finished bread, yogurt, support: 20
other vegetables, semi-finished bread, yogurt, support: 22
other vegetables, soda, semi-finished bread, support: 12
soda, tropical fruit, semi-finished bread, support: 15
soda, whole milk, semi-finished bread, support: 22
whole milk, tropical fruit, semi-finished bread, support: 21
other vegetables, tropical fruit, semi-finished bread, support: 22
other vegetables, whole milk, semi-finished bread, support: 26
baking powder, whole milk, hard cheese, support: 10
other vegetables, baking powder, beef, support: 11
baking powder, whole milk, pastry, support: 10
baking powder, pastry, other vegetables, support: 11
baking powder, other vegetables, cream cheese , support: 10
baking powder, pork, other vegetables, support: 11
baking powder, pork, whole milk, support: 13
baking powder, whole milk, curd, support: 12
baking powder, whole milk, napkins, support: 11
newspapers, baking powder, whole milk, support: 10
baking powder, whole milk, chocolate, support: 13
baking powder, whole milk, long life bakery product, support: 10
baking powder, long life bakery product, other vegetables, support: 12
baking powder, tropical fruit, fruit/vegetable juice, support: 10
baking powder, fruit/vegetable juice, yogurt, support: 11
baking powder, whole milk, fruit/vegetable juice, support: 14
baking powder, soda, whole milk, support: 13
baking powder, root vegetables, frozen vegetables, support: 11
baking powder, other vegetables, frozen vegetables, support: 13
baking powder, whole milk, frozen vegetables, support: 15
baking powder, sausage, whole milk, support: 13
baking powder, sausage, other vegetables, support: 15
baking powder, pip fruit, other vegetables, support: 13
baking powder, whole milk, pip fruit, support: 16
baking powder, bottled water, other vegetables, support: 11
baking powder, whole milk, bottled water, support: 19
baking powder, butter, domestic eggs, support: 10
baking powder, butter, root vegetables, support: 11
baking powder, butter, other vegetables, support: 14
baking powder, butter, whole milk, support: 16
margarine, baking powder, yogurt, support: 10
margarine, baking powder, sugar, support: 11
margarine, baking powder, other vegetables, support: 17
margarine, baking powder, whole milk, support: 18
sugar, baking powder, domestic eggs, support: 10
baking powder, domestic eggs, other vegetables, support: 12
baking powder, whole milk, domestic eggs, support: 19
sugar, baking powder, whipped/sour cream, support: 13
sugar, baking powder, other vegetables, support: 15
sugar, baking powder, whole milk, support: 16
whipped/sour cream, baking powder, citrus fruit, support: 10
baking powder, other vegetables, citrus fruit, support: 16
baking powder, whole milk, citrus fruit, support: 18
whipped/sour cream, baking powder, rolls/buns, support: 10
baking powder, root vegetables, rolls/buns, support: 12
other vegetables, baking powder, rolls/buns, support: 21
baking powder, whole milk, rolls/buns, support: 22
whipped/sour cream, baking powder, root vegetables, support: 11
baking powder, root vegetables, yogurt, support: 12
baking powder, root vegetables, tropical fruit, support: 13
baking powder, root vegetables, whole milk, support: 23
baking powder, root vegetables, other vegetables, support: 25
whipped/sour cream, baking powder, tropical fruit, support: 11
baking powder, tropical fruit, yogurt, support: 13
baking powder, tropical fruit, other vegetables, support: 18
baking powder, whole milk, tropical fruit, support: 20
whipped/sour cream, baking powder, yogurt, support: 14
baking powder, other vegetables, yogurt, support: 23
baking powder, whole milk, yogurt, support: 32
whipped/sour cream, baking powder, other vegetables, support: 24
whipped/sour cream, baking powder, whole milk, support: 26
baking powder, whole milk, other vegetables, support: 43
chocolate, whole milk, pickled vegetables, support: 12
whole milk, long life bakery product, pickled vegetables, support: 12
butter, whole milk, pickled vegetables, support: 10
whole milk, pickled vegetables, bottled beer, support: 11
whole milk, pickled vegetables, chicken, support: 10
other vegetables, pickled vegetables, chicken, support: 11
whole milk, pastry, pickled vegetables, support: 10
margarine, whole milk, pickled vegetables, support: 10
newspapers, other vegetables, pickled vegetables, support: 10
beef, tropical fruit, pickled vegetables, support: 10
beef, whole milk, pickled vegetables, support: 14
other vegetables, beef, pickled vegetables, support: 14
whole milk, pip fruit, pickled vegetables, support: 12
root vegetables, domestic eggs, pickled vegetables, support: 10
other vegetables, domestic eggs, pickled vegetables, support: 10
whole milk, domestic eggs, pickled vegetables, support: 13
whole milk, fruit/vegetable juice, pickled vegetables, support: 11
tropical fruit, pickled vegetables, frozen vegetables, support: 10
whole milk, pickled vegetables, frozen vegetables, support: 10
other vegetables, pickled vegetables, frozen vegetables, support: 11
rolls/buns, sausage, pickled vegetables, support: 13
sausage, whole milk, pickled vegetables, support: 13
other vegetables, bottled water, pickled vegetables, support: 10
whole milk, bottled water, pickled vegetables, support: 14
citrus fruit, root vegetables, pickled vegetables, support: 10
citrus fruit, whole milk, pickled vegetables, support: 12
other vegetables, citrus fruit, pickled vegetables, support: 17
soda, pickled vegetables, yogurt, support: 10
rolls/buns, pickled vegetables, yogurt, support: 12
other vegetables, pickled vegetables, yogurt, support: 13
whole milk, pickled vegetables, yogurt, support: 18
root vegetables, tropical fruit, pickled vegetables, support: 12
soda, tropical fruit, pickled vegetables, support: 15
whole milk, tropical fruit, pickled vegetables, support: 16
other vegetables, tropical fruit, pickled vegetables, support: 20
rolls/buns, soda, pickled vegetables, support: 11
other vegetables, soda, pickled vegetables, support: 14
soda, whole milk, pickled vegetables, support: 18
root vegetables, whole milk, pickled vegetables, support: 18
other vegetables, root vegetables, pickled vegetables, support: 21
other vegetables, rolls/buns, pickled vegetables, support: 10
rolls/buns, whole milk, pickled vegetables, support: 18
other vegetables, whole milk, pickled vegetables, support: 20
soda, rolls/buns, white wine, support: 13
soda, bottled water, white wine, support: 10
other vegetables, detergent, berries, support: 10
other vegetables, detergent, curd, support: 10
detergent, whole milk, curd, support: 10
detergent, whole milk, pork, support: 11
white bread, detergent, whole milk, support: 11
detergent, whole milk, oil, support: 10
other vegetables, detergent, oil, support: 11
detergent, whole milk, beef, support: 11
whipped/sour cream, detergent, other vegetables, support: 12
whipped/sour cream, detergent, whole milk, support: 15
detergent, whole milk, napkins, support: 11
frankfurter, other vegetables, detergent, support: 10
frankfurter, detergent, whole milk, support: 12
butter, detergent, other vegetables, support: 12
butter, detergent, whole milk, support: 15
citrus fruit, detergent, other vegetables, support: 11
citrus fruit, detergent, whole milk, support: 14
other vegetables, detergent, pastry, support: 12
detergent, whole milk, pastry, support: 13
other vegetables, detergent, bottled water, support: 12
detergent, bottled water, whole milk, support: 13
sausage, other vegetables, detergent, support: 12
sausage, detergent, whole milk, support: 14
detergent, shopping bags, whole milk, support: 14
other vegetables, detergent, pip fruit, support: 10
detergent, pip fruit, tropical fruit, support: 11
detergent, pip fruit, whole milk, support: 15
detergent, yogurt, frozen vegetables, support: 10
other vegetables, detergent, frozen vegetables, support: 14
detergent, whole milk, frozen vegetables, support: 17
other vegetables, detergent, rolls/buns, support: 10
detergent, whole milk, rolls/buns, support: 20
other vegetables, detergent, tropical fruit, support: 17
detergent, whole milk, tropical fruit, support: 20
soda, other vegetables, detergent, support: 10
soda, detergent, whole milk, support: 17
detergent, root vegetables, yogurt, support: 10
other vegetables, detergent, yogurt, support: 18
detergent, whole milk, yogurt, support: 21
other vegetables, detergent, root vegetables, support: 20
detergent, whole milk, root vegetables, support: 27
other vegetables, detergent, whole milk, support: 35
red/blush wine, shopping bags, fruit/vegetable juice, support: 10
other vegetables, red/blush wine, yogurt, support: 10
red/blush wine, whole milk, yogurt, support: 10
soda, red/blush wine, root vegetables, support: 11
other vegetables, red/blush wine, root vegetables, support: 14
red/blush wine, whole milk, tropical fruit, support: 13
soda, red/blush wine, bottled water, support: 11
red/blush wine, bottled water, rolls/buns, support: 13
other vegetables, red/blush wine, bottled water, support: 13
other vegetables, red/blush wine, rolls/buns, support: 12
soda, red/blush wine, rolls/buns, support: 12
soda, red/blush wine, whole milk, support: 14
other vegetables, red/blush wine, whole milk, support: 18
soda, other vegetables, red/blush wine, support: 12
soda, red/blush wine, bottled beer, support: 16
other vegetables, red/blush wine, bottled beer, support: 15
chewing gum, root vegetables, other vegetables, support: 11
whipped/sour cream, chewing gum, whole milk, support: 10
chewing gum, whole milk, pip fruit, support: 10
chewing gum, other vegetables, yogurt, support: 10
chewing gum, whole milk, yogurt, support: 11
soda, chewing gum, sausage, support: 11
chewing gum, tropical fruit, other vegetables, support: 10
chewing gum, whole milk, tropical fruit, support: 13
chewing gum, soda, bottled water, support: 12
chewing gum, soda, shopping bags, support: 16
chewing gum, soda, rolls/buns, support: 13
chewing gum, whole milk, other vegetables, support: 16
chewing gum, soda, whole milk, support: 12
grapes, onions, other vegetables, support: 11
grapes, frozen meals, other vegetables, support: 10
grapes, whole milk, chicken, support: 12
grapes, whole milk, frozen vegetables, support: 11
grapes, other vegetables, frozen vegetables, support: 13
newspapers, grapes, whole milk, support: 10
grapes, yogurt, curd, support: 10
grapes, whole milk, curd, support: 10
grapes, other vegetables, curd, support: 14
grapes, domestic eggs, other vegetables, support: 12
frankfurter, grapes, whole milk, support: 11
frankfurter, grapes, other vegetables, support: 13
grapes, pork, whole milk, support: 12
grapes, pork, other vegetables, support: 16
other vegetables, grapes, napkins, support: 13
grapes, brown bread, tropical fruit, support: 10
grapes, whole milk, brown bread, support: 10
grapes, brown bread, other vegetables, support: 13
grapes, butter, bottled water, support: 10
grapes, butter, other vegetables, support: 13
grapes, butter, whole milk, support: 15
grapes, shopping bags, tropical fruit, support: 10
grapes, shopping bags, pastry, support: 10
other vegetables, grapes, chocolate, support: 11
grapes, whole milk, chocolate, support: 12
grapes, root vegetables, beef, support: 10
other vegetables, grapes, beef, support: 12
grapes, whole milk, beef, support: 13
grapes, other vegetables, berries, support: 13
whipped/sour cream, grapes, bottled water, support: 10
whipped/sour cream, grapes, root vegetables, support: 10
whipped/sour cream, grapes, whole milk, support: 15
whipped/sour cream, grapes, other vegetables, support: 16
soda, grapes, sausage, support: 10
grapes, sausage, tropical fruit, support: 10
grapes, sausage, whole milk, support: 13
grapes, sausage, other vegetables, support: 18
grapes, fruit/vegetable juice, yogurt, support: 11
grapes, fruit/vegetable juice, citrus fruit, support: 13
grapes, fruit/vegetable juice, other vegetables, support: 14
grapes, bottled water, fruit/vegetable juice, support: 15
grapes, tropical fruit, fruit/vegetable juice, support: 16
grapes, whole milk, fruit/vegetable juice, support: 16
grapes, pip fruit, citrus fruit, support: 10
grapes, root vegetables, pip fruit, support: 11
grapes, pip fruit, yogurt, support: 13
grapes, whole milk, pip fruit, support: 17
grapes, pip fruit, other vegetables, support: 19
grapes, pip fruit, tropical fruit, support: 21
grapes, soda, pastry, support: 12
grapes, pastry, rolls/buns, support: 14
grapes, tropical fruit, pastry, support: 14
grapes, whole milk, pastry, support: 16
grapes, pastry, other vegetables, support: 20
grapes, bottled water, citrus fruit, support: 10
grapes, root vegetables, citrus fruit, support: 12
grapes, rolls/buns, citrus fruit, support: 13
grapes, whole milk, citrus fruit, support: 13
grapes, other vegetables, citrus fruit, support: 17
grapes, tropical fruit, citrus fruit, support: 18
grapes, soda, whole milk, support: 12
grapes, soda, other vegetables, support: 13
grapes, soda, bottled water, support: 13
grapes, soda, tropical fruit, support: 14
grapes, soda, rolls/buns, support: 15
grapes, bottled water, yogurt, support: 12
grapes, bottled water, tropical fruit, support: 14
grapes, bottled water, other vegetables, support: 18
grapes, whole milk, bottled water, support: 20
grapes, root vegetables, yogurt, support: 10
grapes, root vegetables, rolls/buns, support: 13
grapes, root vegetables, tropical fruit, support: 15
grapes, root vegetables, whole milk, support: 19
grapes, root vegetables, other vegetables, support: 27
grapes, rolls/buns, yogurt, support: 12
grapes, tropical fruit, yogurt, support: 17
grapes, whole milk, yogurt, support: 23
grapes, other vegetables, yogurt, support: 28
grapes, tropical fruit, rolls/buns, support: 11
grapes, whole milk, rolls/buns, support: 12
other vegetables, grapes, rolls/buns, support: 19
grapes, whole milk, tropical fruit, support: 25
grapes, tropical fruit, other vegetables, support: 36
grapes, whole milk, other vegetables, support: 38
other vegetables, cat food, hamburger meat, support: 10
other vegetables, cat food, dessert, support: 10
other vegetables, cat food, brown bread, support: 12
hygiene articles, cat food, whole milk, support: 12
whole milk, cat food, curd, support: 17
soda, cat food, fruit/vegetable juice, support: 10
cat food, fruit/vegetable juice, yogurt, support: 12
other vegetables, cat food, fruit/vegetable juice, support: 12
whole milk, cat food, fruit/vegetable juice, support: 13
pork, cat food, root vegetables, support: 12
pork, cat food, whole milk, support: 13
other vegetables, pork, cat food, support: 13
butter, whole milk, cat food, support: 17
pip fruit, cat food, root vegetables, support: 11
other vegetables, pip fruit, cat food, support: 11
pip fruit, cat food, tropical fruit, support: 14
domestic eggs, cat food, other vegetables, support: 10
domestic eggs, whole milk, cat food, support: 11
newspapers, whole milk, cat food, support: 10
coffee, cat food, whole milk, support: 11
whipped/sour cream, cat food, yogurt, support: 11
whipped/sour cream, whole milk, cat food, support: 15
whipped/sour cream, cat food, other vegetables, support: 19
margarine, cat food, yogurt, support: 10
margarine, whole milk, cat food, support: 11
cat food, pastry, rolls/buns, support: 10
cat food, pastry, yogurt, support: 10
tropical fruit, cat food, pastry, support: 11
other vegetables, cat food, pastry, support: 11
cat food, chocolate, yogurt, support: 14
whole milk, cat food, chocolate, support: 16
root vegetables, cat food, beef, support: 11
other vegetables, cat food, beef, support: 11
rolls/buns, cat food, beef, support: 12
cat food, beef, yogurt, support: 12
whole milk, cat food, beef, support: 17
sausage, cat food, yogurt, support: 11
sausage, cat food, whole milk, support: 12
other vegetables, sausage, cat food, support: 14
cat food, tropical fruit, napkins, support: 10
other vegetables, cat food, napkins, support: 12
bottled water, cat food, napkins, support: 12
cat food, napkins, yogurt, support: 15
whole milk, cat food, napkins, support: 16
bottled water, citrus fruit, cat food, support: 10
citrus fruit, cat food, tropical fruit, support: 10
citrus fruit, root vegetables, cat food, support: 15
citrus fruit, cat food, other vegetables, support: 16
citrus fruit, whole milk, cat food, support: 16
citrus fruit, cat food, yogurt, support: 17
bottled water, cat food, rolls/buns, support: 10
root vegetables, cat food, rolls/buns, support: 12
cat food, tropical fruit, rolls/buns, support: 12
other vegetables, cat food, rolls/buns, support: 12
cat food, rolls/buns, yogurt, support: 12
whole milk, cat food, rolls/buns, support: 17
bottled water, soda, cat food, support: 12
bottled water, other vegetables, cat food, support: 14
bottled water, cat food, tropical fruit, support: 14
bottled water, whole milk, cat food, support: 16
bottled water, cat food, yogurt, support: 16
soda, cat food, tropical fruit, support: 11
soda, cat food, yogurt, support: 14
soda, cat food, whole milk, support: 18
shopping bags, cat food, tropical fruit, support: 10
shopping bags, cat food, root vegetables, support: 13
shopping bags, cat food, whole milk, support: 14
other vegetables, shopping bags, cat food, support: 15
root vegetables, cat food, tropical fruit, support: 12
root vegetables, cat food, yogurt, support: 14
root vegetables, cat food, whole milk, support: 21
other vegetables, root vegetables, cat food, support: 28
other vegetables, cat food, tropical fruit, support: 18
cat food, tropical fruit, yogurt, support: 19
whole milk, cat food, tropical fruit, support: 26
other vegetables, cat food, yogurt, support: 27
whole milk, cat food, yogurt, support: 27
other vegetables, whole milk, cat food, support: 30
other vegetables, hard cheese, oil, support: 11
sugar, whole milk, hard cheese, support: 12
coffee, hard cheese, whole milk, support: 12
whole milk, hard cheese, sliced cheese, support: 10
other vegetables, hard cheese, sliced cheese, support: 11
other vegetables, hard cheese, long life bakery product, support: 12
whole milk, hard cheese, cream cheese , support: 10
other vegetables, hard cheese, cream cheese , support: 11
other vegetables, hard cheese, candy, support: 11
root vegetables, hard cheese, onions, support: 10
other vegetables, hard cheese, onions, support: 12
white bread, whole milk, hard cheese, support: 10
white bread, hard cheese, yogurt, support: 11
hard cheese, yogurt, curd, support: 10
root vegetables, hard cheese, curd, support: 11
whole milk, hard cheese, curd, support: 12
other vegetables, hard cheese, chocolate, support: 11
margarine, hard cheese, other vegetables, support: 11
margarine, whole milk, hard cheese, support: 15
frankfurter, whole milk, hard cheese, support: 10
frankfurter, sausage, hard cheese, support: 10
whole milk, hard cheese, brown bread, support: 12
whole milk, hard cheese, frozen vegetables, support: 10
other vegetables, hard cheese, frozen vegetables, support: 14
newspapers, other vegetables, hard cheese, support: 12
newspapers, whole milk, hard cheese, support: 15
whole milk, hard cheese, ham, support: 13
hard cheese, pastry, rolls/buns, support: 10
whole milk, hard cheese, pastry, support: 13
other vegetables, hard cheese, pastry, support: 14
sausage, pip fruit, hard cheese, support: 12
pip fruit, hard cheese, whole milk, support: 14
other vegetables, pip fruit, hard cheese, support: 14
shopping bags, hard cheese, rolls/buns, support: 10
shopping bags, hard cheese, yogurt, support: 10
other vegetables, shopping bags, hard cheese, support: 12
whipped/sour cream, citrus fruit, hard cheese, support: 10
citrus fruit, root vegetables, hard cheese, support: 10
citrus fruit, hard cheese, fruit/vegetable juice, support: 13
citrus fruit, whole milk, hard cheese, support: 14
citrus fruit, sausage, hard cheese, support: 14
citrus fruit, hard cheese, yogurt, support: 14
citrus fruit, hard cheese, other vegetables, support: 17
hard cheese, tropical fruit, napkins, support: 10
rolls/buns, hard cheese, napkins, support: 10
root vegetables, hard cheese, napkins, support: 10
hard cheese, fruit/vegetable juice, napkins, support: 10
other vegetables, hard cheese, napkins, support: 12
hard cheese, napkins, yogurt, support: 13
whole milk, hard cheese, napkins, support: 16
bottled water, hard cheese, rolls/buns, support: 10
bottled water, hard cheese, fruit/vegetable juice, support: 10
bottled water, root vegetables, hard cheese, support: 11
bottled water, hard cheese, yogurt, support: 13
bottled water, whole milk, hard cheese, support: 15
bottled water, other vegetables, hard cheese, support: 18
domestic eggs, sausage, hard cheese, support: 10
domestic eggs, hard cheese, fruit/vegetable juice, support: 11
domestic eggs, hard cheese, rolls/buns, support: 12
domestic eggs, hard cheese, tropical fruit, support: 14
domestic eggs, butter, hard cheese, support: 14
domestic eggs, root vegetables, hard cheese, support: 16
domestic eggs, hard cheese, yogurt, support: 17
domestic eggs, hard cheese, other vegetables, support: 19
domestic eggs, whole milk, hard cheese, support: 21
butter, hard cheese, fruit/vegetable juice, support: 10
butter, sausage, hard cheese, support: 10
butter, hard cheese, tropical fruit, support: 13
butter, root vegetables, hard cheese, support: 15
butter, hard cheese, yogurt, support: 16
butter, hard cheese, other vegetables, support: 20
whipped/sour cream, butter, hard cheese, support: 20
butter, whole milk, hard cheese, support: 21
hard cheese, tropical fruit, rolls/buns, support: 11
whipped/sour cream, hard cheese, tropical fruit, support: 11
hard cheese, tropical fruit, fruit/vegetable juice, support: 13
root vegetables, hard cheese, tropical fruit, support: 14
hard cheese, tropical fruit, yogurt, support: 17
other vegetables, hard cheese, tropical fruit, support: 20
whole milk, hard cheese, tropical fruit, support: 23
sausage, soda, hard cheese, support: 10
soda, hard cheese, yogurt, support: 12
other vegetables, soda, hard cheese, support: 15
sausage, hard cheese, fruit/vegetable juice, support: 10
whipped/sour cream, hard cheese, fruit/vegetable juice, support: 11
root vegetables, hard cheese, fruit/vegetable juice, support: 16
hard cheese, fruit/vegetable juice, yogurt, support: 19
other vegetables, hard cheese, fruit/vegetable juice, support: 20
whole milk, hard cheese, fruit/vegetable juice, support: 21
whipped/sour cream, hard cheese, rolls/buns, support: 10
whipped/sour cream, root vegetables, hard cheese, support: 16
whipped/sour cream, hard cheese, yogurt, support: 17
whipped/sour cream, whole milk, hard cheese, support: 26
whipped/sour cream, hard cheese, other vegetables, support: 27
sausage, hard cheese, yogurt, support: 15
sausage, hard cheese, rolls/buns, support: 18
sausage, hard cheese, whole milk, support: 19
other vegetables, sausage, hard cheese, support: 29
root vegetables, hard cheese, rolls/buns, support: 13
root vegetables, hard cheese, yogurt, support: 22
root vegetables, hard cheese, whole milk, support: 32
other vegetables, root vegetables, hard cheese, support: 34
hard cheese, rolls/buns, yogurt, support: 15
whole milk, hard cheese, rolls/buns, support: 25
other vegetables, hard cheese, rolls/buns, support: 29
other vegetables, hard cheese, yogurt, support: 28
whole milk, hard cheese, yogurt, support: 41
other vegetables, whole milk, hard cheese, support: 43
sugar, whole milk, sliced cheese, support: 10
other vegetables, sliced cheese, chicken, support: 10
other vegetables, sliced cheese, oil, support: 10
whole milk, sliced cheese, long life bakery product, support: 10
other vegetables, sliced cheese, meat, support: 11
other vegetables, sliced cheese, hamburger meat, support: 10
whole milk, sliced cheese, bottled beer, support: 11
whole milk, sliced cheese, chocolate, support: 10
other vegetables, sliced cheese, chocolate, support: 11
frozen meals, sliced cheese, yogurt, support: 11
frozen meals, whole milk, sliced cheese, support: 12
whole milk, sliced cheese, onions, support: 11
other vegetables, sliced cheese, onions, support: 15
sliced cheese, beef, yogurt, support: 10
other vegetables, sliced cheese, beef, support: 11
root vegetables, sliced cheese, beef, support: 11
whole milk, sliced cheese, dessert, support: 11
other vegetables, sliced cheese, dessert, support: 11
white bread, whole milk, sliced cheese, support: 10
white bread, sliced cheese, fruit/vegetable juice, support: 10
white bread, sliced cheese, yogurt, support: 10
white bread, other vegetables, sliced cheese, support: 11
whole milk, sliced cheese, frozen vegetables, support: 10
other vegetables, sliced cheese, frozen vegetables, support: 11
sliced cheese, yogurt, frozen vegetables, support: 11
root vegetables, sliced cheese, frozen vegetables, support: 13
frankfurter, other vegetables, sliced cheese, support: 10
frankfurter, root vegetables, sliced cheese, support: 11
frankfurter, sliced cheese, yogurt, support: 12
frankfurter, whole milk, sliced cheese, support: 16
sausage, sliced cheese, cream cheese , support: 10
other vegetables, sliced cheese, cream cheese , support: 12
whole milk, sliced cheese, cream cheese , support: 14
