,items
2098,{'logout'}
2099,"{'ps', '<1>', '-e', 'logout', 'who', 'openwin', '-f', '-u', 'jobs', '-ef'}"
2100,"{'<1>', 'openwin', 'logout', 'rlogin'}"
2101,"{'elm', 'logout'}"
2102,"{'w', 'logout'}"
2103,"{'ps', 'cd', '<1>', 'logout', 'who', 'wc', 'll', '&', '>>', 'tail', 'jobs', '-fu', 'rm', 'nohup'}"
2104,{'logout'}
2105,{'elm'}
2106,"{'make', 'cd', '<1>', 'logout', 'w', 'MAKE'}"
2107,"{'-i', 'unalias', 'wc', 'll', 'vi', '-fu', 'grep', 'cd', 'man', 'netscape', '-s', 'jobs', 'rsh', 'xlock', '<1>', '<2>', 'ln', 'pwd', '<3>', 'rm'}"
2108,"{'reboot', '<1>', 'logout', 'man', 'init', 'boot', 'shutdown'}"
2109,"{'xterm', 'quota', '-v', '&'}"
2110,"{'cd', '<1>', 'logout', 'who', 'll', 'test', 'vi', 'dir'}"
2111,"{'<2>', '-l', 'logout', 'rlogin'}"
2112,"{'cd', '<1>', 'logout', 'akcl', 'll'}"
2113,"{'emacs', 'cd', '<1>', 'logout', 'll', 'rlogin', '&'}"
2114,"{'elm', 'logout'}"
2115,"{'elm', 'logout'}"
2116,"{'elm', 'logout'}"
2117,"{'elm', 'logout'}"
2118,"{'cd', '<1>', 'tee', '|', 'logout', 'test28'}"
2119,"{'calcsents.pl', 'logout', 'calcsent', 'cp', 'vi', 'calcsents', 'calcsents2.pl', 'grep', '%1', 'cd', '-f', '<1>', 'elm', '<2>', 'who', 'matlab', 'countwgf', 'ls', 'rehash'}"
2120,"{'<1>', '-i', '<2>', 'logout', 'rlogin', 'which', 'grep'}"
2121,"{'elm', 'xlock'}"
2122,"{'elm', 'logout'}"
2123,"{'<1>', 'elm', 'finger', 'logout'}"
2124,"{'cd', '<1>', 'pwd', 'elm', '<2>', '-i', 'cat', 'rlogin', '-n', 'vi', 'grep'}"
2125,"{'elm', 'logout'}"
2126,"{'cd', '<1>', 'elm', '-2r', 'logout', 'll', '-dmsa15', 'rm', 'enscript'}"
2127,"{'emacs', 'cd', '<1>', 'bibtex', '<2>', 'latex', '&', 'll', 'head', 'ghostview', 'IslandDraw', 'dvips', '-dmsa15', 'cp', 'vi', 'dir', 'lp'}"
2128,"{'elm', 'logout'}"
2129,"{'cd', '<1>', 'elm', 'man', '-k', 'help', '**010000012f4ced', 'sz', 'll', 'dir'}"
2130,"{'cd', '<1>', '|', 'elm', '<2>', 'logout', 'wc', 'countwgf', '&', 'll', 'head', 'ls', 'test', '>', 'cp', 'vi', '-100', 'grep'}"
2131,"{'cd', '<1>', 'elm', 'ln', '<2>', 'pwd', 'logout', 'finger', '-s', 'll', 'cat', 'cp', 'vi', 'la', 'rm'}"
2132,"{'mv', 'cd', '<1>', 'elm', '<2>', 'logout', '<4>', 'ls', 'dir', 'rm'}"
2133,{'elm'}
2134,"{'elm', 'logout'}"
2135,"{'ps', 'cd', '<1>', 'logout', 'll', 'ls', 'cat', 'jobs', '-ef'}"
2136,"{'<1>', 'elm', 'rm', 'logout'}"
2137,"{'<2>', '-l', 'rlogin'}"
2138,{'logout'}
2139,"{'elm', 'logout'}"
2140,"{'elm', 'logout'}"
2141,"{'elm', 'logout'}"
2142,"{'elm', 'logout'}"
2143,"{'elm', 'logout'}"
2144,"{'elm', 'logout'}"
2145,"{'cd', '<1>', '<2>', 'logout', 'man', 'convert'}"
2146,"{'logout', 'trouble'}"
2147,"{'cd', '<1>', '<2>', 'logout', 'chmod', 'wc', 'date', 'rlogin', 'runit', 'DATE', 'vi', 'rm'}"
2148,"{'-i', 'logout', 'wc', 'finger', 'll', 'HFree', '-dmsa15', 'cp', 'vi', '-fu', '-rp', 'grep', 'cd', 'echo', '-f', 'tail', 'path', 'jobs', 'dir', 'jobds', 'ps', 'rmdir', '<1>', 'mkdir', 'rmchangename', '<2>', 'source', 'kill', 'who', '$path', ')', 'fixrm', 'lp', 'mv', '|', 'pwd', '(', 'rehash'}"
2149,"{'elm', 'logout'}"
2150,"{'elm', 'logout'}"
2151,"{'elm', 'logout'}"
2152,"{'elm', 'logout'}"
2153,"{'elm', 'logout'}"
2154,"{'elm', 'logout'}"
2155,"{'<1>', 'elm', 'rm', 'logout'}"
2156,"{'who', 'ls', 'pwd', 'logout'}"
2157,"{'logout', 'wc', 'll', 'md', 'vi', 'grep', 'cd', 'echo', '-s', 'sort', '<4>', '-print', 'cat', 'dir', 'rmdir', 'tee', '<1>', 'mkdir', '<2>', '-c', 'sc_test', '-', '-name', '-u', 'find', 'mv', '|', 'ln', 'foreach', 'bc', '<3>'}"
2158,"{'elm', 'dir', 'matlab', 'logout'}"
2159,"{'elm', 'xlock'}"
2160,"{'<1>', 'logout', 'rlogin'}"
2161,"{'xstart', 'logout'}"
2162,"{'-i', 'wc', 'finger', 'll', 'HFree', '-dmsa15', 'vi', '-fu', 'grep', 'cd', '-2r', 'man', 'ssinfo', 'tail', 'cat', 'dir', 'time', 'rsh', 'xlock', 'enscript', 'ps', '<1>', 'expr', 'who', 'rlogin', 'pwd', 'HCheckout', 'date', '<3>', 'rm'}"
2163,"{'xstart', 'logout'}"
2164,"{'elm', 'logout'}"
2165,"{'|', '<1>', 'elm', 'echo', 'pwd', '-i', '<2>', 'man', 'cd', 'dir', 'more', 'path', '-n', 'cp', 'vi', 'la', 'grep', '<7>'}"
2166,"{'mv', 'cd', '<1>', 'elm', '<2>', 'logout', '<5>', '-k', 'll', 'md', 'du', 'ls', 'rm', 'rmdir'}"
2167,"{'ekn', 'cd', '<1>', 'pwd', 'elm', 'logout', 'kill', 'test3', 'll', '&', '>', 'cat', 'jobs', 'vi', 'dir', 'rm'}"
2168,"{'elm', 'logout'}"
2169,"{'<1>', 'elm', 'logout', 'rlogin'}"
2170,"{'<1>', 'pwd', 'logout', 'vi', 'rm'}"
2171,"{'ph', '<1>', '-l', '<2>', 'who', 'finger', 'netscape', '&', 'rlogin', 'eeph', 'matlab', 'xlock'}"
2172,{'elm'}
2173,{'xlock'}
2174,"{'xlock', 'matlab'}"
2175,{'elm'}
2176,"{'finger', 'll', 'which', '-dmsa15', 'cp', 'vi', 'cd', '&', 'dir', 'emacs', 'diff', '<1>', '<2>', 'ghostview', 'dvips', 'lp', 'latex', 'ls', 'rm'}"
2177,"{'elm', 'logout'}"
2178,"{'<1>', 'logout', '-20', 'head', 'more', 'ls', 'tail'}"
2179,"{'cd', '<1>', 'elm', 'logout', 'll', 'vi', 'dir'}"
2180,"{'xstart', 'logout'}"
2181,"{'elm', 'logout'}"
2182,"{'cd', '<1>', 'pwd', 'echo', 'logout', 'who', 'll', 'ls', 'dir'}"
2183,"{'netscape', 'matlab', '&'}"
2184,"{'-i', 'finger', 'll', 'which', '-dmsa15', 'vi', 'grep', 'cd', 'eeph', 'dir', 'xlock', 'df', '<1>', 'alias', '-15', '<2>', 'lp', 'mv', 'pwd', '-k', 'head'}"
2185,{'logout'}
2186,"{'elm', 'logout'}"
2187,"{'cd', '<1>', 'pwd', '-l', '<2>', 'c', 'rlogin', 'll', 'dcd', 'matlab', 'vi', 'xlock'}"
2188,{'elm'}
2189,"{'ll', 'cp', 'vi', 'cd', 'echo', 'ps2pdf', 'netscape', '&', 'dir', 'xlock', 'emacs', 'diff', '<1>', 'elm', '<2>', 'who', 'ghostscript', 'ghostview', 'dvips', 'pwd', 'pdf2ps', 'latex', 'ls', 'rm'}"
2190,"{'elm', 'logout'}"
2191,"{'elm', 'logout'}"
2192,"{'elm', 'logout'}"
2193,{'elm'}
2194,"{'cd', '<1>', 'finger', 'll', 'cat', 'vi', 'dir'}"
2195,"{'emacs', 'cd', '<1>', 'pwd', 'mkdir', '<2>', 'finger', 'll', '&', 'convert', 'cp', 'vi', 'dir', 'l'}"
2196,"{'-i', 'unalias', 'wc', 'finger', 'll', '>', '-5', 'which', 'cp', 'vi', 'grep', 'cd', 'echo', 'run', 'runall', '-f', 'netscape', '&', '>>', 'cat', 'jobs', 'dir', '<1>', 'mkdir', '<6>', '<2>', 'alias', 'sed', 'egrep', 'mv', '|', 'pwd', 'head', '<3>', 'rm'}"
2197,"{'cd', '<1>', '|', 'pwd', '<2>', 'wc', 'll', 'rlogin', '<3>', 'cat', 'cp', 'vi', 'dir', 'rm'}"
2198,"{'<1>', '<2>', 'clear', 'logout', 'openwin', 'xstart', 'cp', 'vi', 'rm'}"
2199,"{'elm', 'logout'}"
2200,"{'elm', 'logout'}"
2201,"{'elm', 'logout'}"
2202,"{'elm', 'logout'}"
2203,"{'elm', 'logout'}"
2204,"{'emacs', '<1>', '&', 'more', 'ls', 'cat', 'xterm'}"
2205,"{'elm', 'logout'}"
2206,"{'sfsdemo', '<', 'logout', 'finger', 'll', 'md', '-b', '>', 'cp', 'vi', 'grep', 'cd', 'echo', 'man', 'q', 'netscape', '<4>', '&', 'sfsdemo.sh', 'eeph', 'untar', 'Es', '-r', 'cd..', '-U', 'cat', 'mail', 'dir', 'source', 'ps', 'make', '<1>', 'play', 'gunzip', '<2>', '-l', 'kill', 'Ds', '-t', 'diff', 'write', '-v', 'rlogin', '-u', 'tr', 'setenv', '-V', '|', 'matlab4', 'pwd', '<3>', 'addpath', 'sox', '-d', 'rm'}"
2207,"{'ph', 'logout', 'finger', 'll', 'md', 'dtwcomp', 'which', 'uncompress', 'cp', 'vi', '-o', 'cd', ';', 'feature', 'echo', 'chomod', 'touch', '-s', '<4>', '-print', 'untar', 'eeph', 'cat', 'dir', 'source', 'rmdir', 'make', '<1>', 'gunzip', '<2>', '<5>', 'wild', '-v', 'rlogin', 'dtwcmp', '-E', '-name', '-w', 'find', 'mv', 'pwd', 'dtw', 'chmod', 'ls', '<3>', 'sox', '-d', 'rm', '-M'}"
2208,"{'elm', 'motd', 'logout'}"
2209,"{'ph', 'logout', 'wq', 'finger', 'll', 'which', 'vi', 'cd', 'echo', 'man', 'netscape', '-s', '&', '-print', 'eeph', 'cat', 'dir', 'source', 'xhost', '<1>', '<2>', '-t', 'rlogin', 'matlab', ')', '-name', 'setenv', 'find', 'matlab4', 'pwd', '(', '<GENSYM:10>/bin', '<3>', 'rm'}"
2210,"{'xstart', 'logout'}"
2211,"{'xhost', 'cd', '<1>', 'echo', '<2>', 'logout', 'xmelt', 'll', 'setenv', 'vi', 'dir', 'xlock'}"
2212,"{'cd', '<1>', 'elm', 'f', 'ls', 'lo', 'telnet', 'rm'}"
2213,"{'telnet', 'elm', '<1>', 'f', 'lo'}"
2214,"{'cd', '<1>', 'elm', 'lynx', 'f', 'date', 'ls', 'fg', 'lo', 'vi', 'telnet'}"
2215,"{'lo', '<1>', 'telnet'}"
2216,"{'ps', '<1>', 'elm', 'f', '-e', 'date', 'lo', 'jobs', 'telnet'}"
2217,"{'<1>', 'elm', 'clear', 'f', 'fg', 'lo', 'telnet'}"
2218,"{'<', '<1>', 'elm', '<2>', 'f', 'man', '-s', 'date', 'more', 'ls', 'lo', 'vi', 'telnet', 'vt100'}"
2219,"{'<1>', 'elm', 'gcc', 'f', 'date', 'more', 'ls', 'a.out', 'fg', 'jobs', 'vi', 'lo', 'rm', 'a.ouit'}"
2220,"{'<1>', 'elm', 'f', 'date', 'fg', 'lo', 'telnet'}"
2221,"{'ps', 'ph', '<1>', 'elm', 'f', 'date', 'fg', 'lo', 'telnet'}"
2222,{'lo'}
2223,"{'lo', 'elm'}"
2224,"{'<1>', 'elm', 'f', 'date', 'lo', 'jobs', 'telnet'}"
2225,"{'lo', '<1>', 'elm', 'f'}"
2226,"{'<1>', 'elm', 'f', 'date', 'ls', 'lo', 'telnet'}"
2227,"{'<1>', 'elm', 'f', 'date', 'lo'}"
2228,"{'lynx', '<1>', 'elm', 'mikef', 'f', 'clear', 'aekumcu', 'talk', 'write', 'fg', 'jobs', 'lo', 'jopbs'}"
2229,"{'lo', 'telnet', 'elm', '<1>'}"
2230,"{'cd', '<1>', 'elm', 'jobs', 'aekumcu', 'more', 'ls', 'fg', 'lo', 'telnet'}"
2231,"{'lo', 'ls', 'elm', 'fg'}"
2232,"{'<1>', 'elm', 'aekumcu', 'aeumcu', 'bsu-cs', 'fg', 'lo', 'telnet'}"
2233,"{'cd', '<1>', 'elm', 'f', 'clear', 'talk', 'date', 'fg', 'lo', 'telnet'}"
2234,"{'|', 'lynx', 'elm', '<1>', 'aekumcu', 'f', '-l', 'more', 'fg', 'jobs', 'lo'}"
2235,"{'|', '<1>', 'elm', 'f', 'more', 'ls', 'fg', 'vi', '-al'}"
2236,"{'gethostbyaddr', 'hosts', '<GENSYM:0>/hosts', 'vi', 'lo', 'gethost', 'man', '<GENSYM:1>/hosts', 'jobs', 'host', '-al', '<1>', 'elm', '<2>', 'hostname', '-v', 'more', 'getethers', 'fg', 'telnet', '|', 'aekumcu', 'f', '-k', 'ls', 'remote'}"
2237,"{'|', '<1>', 'elm', 'f', 'date', 'more', 'lo', 'jobs', 'telnet'}"
2238,"{'telnet', 'elm', '<1>', 'f', 'lo'}"
2239,"{'<1>', 'elm', '<2>', 'man', '<GENSYM:2>/ping', 'fg', 'jobs', 'telnet'}"
2240,"{'<1>', 'elm', '<GENSYM:2>/pin', '<2>', 'man', '<GENSYM:2>/ping', 'fg', 'jobs', 'rm', 'ping', '-I'}"
2241,"{'|', '<1>', 'elm', 'cd', 'aekumcu', 'f', 'more', 'ls', 'fg', 'jobs', 'vi'}"
2242,"{'<1>', 'elm', 'aekumcu', 'f', 'fg', 'lo', 'rm'}"
2243,"{'|', '<1>', 'elm', 'f', 'clear', 'more', 'lo'}"
2244,"{'ftp', 'vi', 'lo', 'cd', 'sc', 'jobs', 'cv', 'ping', '-al', '<1>', 'elm', '<2>', '<GENSYM:2>/ping', 'more', 'fg', 'vc', '-I', 'aekumcu', 'chmod', 'ls'}"
2245,"{'<1>', 'elm', 'fg', 'f'}"
2246,"{'<1>', 'elm', 'fgUping', 'fg', 'jobs', 'lo', 'ping'}"
2247,"{'<1>', 'ping', 'f'}"
2248,"{'cd', '<1>', 'elm', 'mesg', 'fg', 'jobs', 'vi', 'lo'}"
2249,"{'<1>', 'elm', 'lynx', 'ls', 'lyxn', 'fg', 'jobs', 'ping'}"
2250,"{'sc', '<1>', 'elm', 'cd', '|', 'f', 'clear', 'mesg', 'talk', 'more', 'ls', 'fg', 'jobs', 'vc', 'lo', 'rm', 'ping', '-al'}"
2251,"{'lo', 'elm'}"
2252,"{'cd', '<1>', 'elm', 'date', 'ls', 'fg', 'lo', 'jobs', 'telnet', 'vt100'}"
2253,"{'|', '<1>', 'elm', 'cd', 'vc', 'f', 'clear', 'sc', 'date', 'more', 'ls', 'fg', 'jobs', 'vi', 'lo', 'rm', 'ping', '-al'}"
2254,"{'<1>', 'elm', 'fg', 'lo', 'rm', 'ping'}"
2255,"{'ph', '<1>', 'elm', 'f', 'mesg', 'more', 'ls', '<3>', '>', 'fg', 'lo', 'jobs', 'telnet', 'ping'}"
2256,"{'datre', '|', '<1>', 'elm', '-l', 'f', 'date', 'more', 'lo'}"
2257,"{'lynx', 'elm', '<1>', 'mesg', 'fg', 'matlab', 'ping'}"
2258,"{'lo', 'elm'}"
2259,"{'lo', 'elm'}"
2260,"{'lo', 'sc', 'cd', '&', 'jobs', 'ping', '-al', 'ps', '-y', '<1>', 'elm', '<2>', 'more', 'fg', 'vc', 'telnet', '|', 'aekumcu', 'f', 'datd', 'chmod', 'mesg', 'date', 'ls'}"
2261,"{'<1>', 'elm', 'fg', 'lo', 'telnet', 'vt100'}"
2262,{'lo'}
2263,"{'-y', '|', '<1>', 'elm', 'f', 'mesg', 'date', 'sate', 'more', 'fg', 'lo', 'telnet'}"
2264,"{'lo', 'elm'}"
2265,"{'<1>', 'lo', 'date', 'f'}"
2266,"{'<1>', 'telnet', 'elm', 'eml', 'lo'}"
2267,"{'cd', '<1>', 'elm', '<', '<2>', 'man', '-s', 'more', 'ls', 'fg', 'jobs', 'vi', 'lo'}"
2268,"{'cd', '<1>', 'elm', 'jobs', '-l', '<2>', 'f', 'chmod', 'rlogin', 'more', 'ls', 'fg', 'cp', 'lo', '-al'}"
2269,"{'tst', 'lo'}"
2270,"{'man', '<1>', 'lo', 'test'}"
2271,"{'jobs', '<1>', 'testthis', 'thes'}"
2272,{'lo'}
2273,"{'<1>', 'elm', 'jobs', 'lo', 'source'}"
2274,"{'jobs', 'elm', 'fg', 'lo'}"
2275,"{'<1>', 'elm', 'f', 'el', 'date', 'fg', 'lo', 'telnet'}"
2276,"{'lo', 'elm'}"
2277,"{'lo', 'elm'}"
2278,"{'lo', 'elm'}"
2279,"{'lo', 'elm'}"
2280,{'lo'}
2281,{'elm'}
2282,"{'vi', 'lo', 'cd', 'unrm', 'q', 'jobs', '-y', '<1>', 'elm', '-l', 'talk', '-v', 'more', 'fg', 'lynx', 'f', 'mesg', 'ls', 'rm'}"
2283,"{'lo', 'elm', 'date'}"
2284,"{'lo', 'elm'}"
2285,"{'lo', '<1>', 'telnet', 'elm'}"
2286,"{'<', '<1>', 'elm', '<2>', '-s', 'date', 'more', 'fg', 'vi', 'lo', 'rm'}"
2287,"{'', '<', 'rmidr', 'vi', 'lo', '-rf', 'cd', 'sc', 'uudecode', 'man', 'q', '-s', 'LS', '-n', 'jobs', 'dir', 'ping', '-al', 'rmdir', 'nire', '<1>', 'elm', 'gunzip', '<2>', 'mkdir', '<5>', '-y', '-l', 'clear', '-v', 'rlogin', 'cs', 'more', 'fg', 'sun', 'vc', 'tar', 'mv', '|', 'lynx', 'f', 'history.970115190023.21636', 'me', 'mesg', 'mroe', '-k', 'date', 'ls', '<3>', 'jobns', 'rm'}"
2288,"{'<2>', 'lo', '-l', 'rlogin'}"
2289,"{'<1>', '-l', 'f', '<2>', 'lo', 'r'}"
2290,"{'lo', 'elm'}"
2291,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo'}"
2292,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo'}"
2293,"{'<', '<1>', 'elm', '<2>', '-s', 'fg', 'lo'}"
2294,"{'rmidr', 'lo', '-rf', 'cd', 'uudecode', 'man', 'q', 'LS', 'jobs', 'dir', '-al', 'rmdir', '<1>', 'elm', 'gunzip', '<2>', 'mkdir', '<5>', '-v', 'more', 'fg', 'tar', 'mv', '|', 'me', 'mroe', '-k', 'ls', '<3>', 'rm'}"
2295,"{'lynx', 'elm', '<1>', 'f', 'fg', 'jobs', 'vi', 'lo'}"
2296,"{'|', '<1>', 'elm', 'nire', 'f', 'more', 'jobs', 'lo'}"
2297,"{'-y', '|', '<1>', 'elm', 'cd', 'f', 'mesg', 'more', 'ls', 'fg', 'vi', 'lo'}"
2298,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo'}"
2299,"{'jobs', 'elm', 'lo'}"
2300,"{'-y', 'elm', 'mesg', 'fg', 'lo'}"
2301,"{'lo', '<1>', 'elm', 'f'}"
2302,"{'lo', 'elm'}"
2303,"{'lo', 'elm'}"
2304,"{'<1>', 'elm', 'more', 'sun', 'lo'}"
2305,"{'lo', 'elm'}"
2306,"{'lo', 'elm'}"
2307,"{'<1>', 'lo', 'f'}"
2308,"{'lo', 'elm'}"
2309,"{'<1>', 'elm', 'f', 'fg', 'lo'}"
2310,"{'cd', '<1>', 'elm', 'date', 'more', 'ls', 'fg', 'sun', 'lo'}"
2311,"{'<1>', 'elm', '<2>', '-l', 'f', 'rlogin', 'jobs', 'lo'}"
2312,"{'sc', 'elm', 'fg', 'lo', 'jobs', 'vc', 'jobns', 'ping'}"
2313,"{'-y', 'cd', '<1>', 'elm', 'sc', 'f', 'mesg', 'cs', 'ls', 'fg', 'vc', 'ping'}"
2314,"{'-y', 'cd', '<1>', 'elm', 'clear', 'f', 'q', 'mesg', '-v', 'more', 'ls', 'fg', '-n', 'jobs', 'vi', 'ping', '-al'}"
2315,"{'sc', 'vi', '<1>'}"
2316,"{'cd', '<1>', 'elm', 'f', 'more', 'ls', 'fg', 'lo', 'jobs', 'vi', 'telnet'}"
2317,"{'cd', '<1>', 'elm', 'fg', 'jobs', 'vi', 'lo'}"
2318,"{'mkdir', '<1>', 'more', 'ls', 'lo', '-al'}"
2319,"{'|', 'cd', '<1>', 'more', 'ls', 'lo', '-al'}"
2320,"{'elm', 'mesg', 'fg', 'jobs', 'lo'}"
2321,"{'lo', '<1>', 'elm', 'mroe'}"
2322,"{'cd', '<1>', 'more', 'ls', 'lo', '-al'}"
2323,"{'cd', '<1>', 'elm', '-l', 'f', 'date', 'ls', 'fg', 'lo', 'jobs', 'vi', 'telnet', '-al'}"
2324,"{'<1>', 'elm', '<2>', 'man', 'chmod', 'ls', 'lo', '-al'}"
2325,"{'lo', 'elm'}"
2326,"{'g', 'vi', 'lo', 'v', 'cd', 'gcc', 'man', 'a.out', '-al', '<1>', 'elm', '<2>', 'more', 'fg', 'mv', '|', 'f', 'date', 'ls', 'rm'}"
2327,"{'cd', '<1>', 'elm', 'f', 'q', 'mroe', '-v', 'date', 'more', 'ls', 'fg', 'jobs', 'vi', 'lo', 'ping'}"
2328,"{'|', '<1>', 'elm', '<2>', 'f', 'chmod', 'more', 'ls', 'cp', 'lo', 'rm', '-al'}"
2329,"{'grade_0', 'cd', '<1>', 'elm', '|', 'make', 'readme', 'more', 'ls', 'r4', 'lo', '-al'}"
2330,"{'<1>', 'elm', 'clear', 'fg', 'lo', 'telnet'}"
2331,"{'lynx', '<1>', 'elm', 'f', 'lo', 'telnet'}"
2332,{'lo'}
2333,"{'ph', '<1>', 'elm', 'f', 'clear', 'talk', 'date', 'more', 'ls', '<3>', 'fg', 'cat', 'jobs', 'vi', '-al'}"
2334,"{'cd', '<1>', 'elm', '<', '<2>', '-s', 'ls', 'fg', 'vi', 'lo'}"
2335,"{'lo', 'elm'}"
2336,"{'<1>', 'elm', 'f', 'q', '-v', 'rlogin', 'suhn', 'ls', 'sun', 'fg', 'lo', 'jobs', 'telnet', 'SUN', 'r', '-al'}"
2337,"{'cd', '<1>', 'elm', '<2>', 'more', 'ls', 'cp', 'lo', '-al'}"
2338,"{'<', '<1>', 'elm', '<2>', '-s', 'more', 'which', 'lo'}"
2339,"{'more', '<1>'}"
2340,"{'|', '<1>', 'elm', 'cd', 'f', 'more', 'ls', 'vi', 'lo', 'rm', '-al'}"
2341,"{'lo', 'elm'}"
2342,"{'lo', 'elm'}"
2343,"{'cd', '<1>', 'elm', '|', 'more', 'ls', 'r4', 'vi', 'lo', 'rm', '-al'}"
2344,"{'<1>', 'lo', 'rm'}"
2345,"{'|', 'cd', '<1>', 'more', 'ls', 'lo', '-al'}"
2346,"{'|', '<1>', 'cd', 'f', 'passwd', 'gorkem', 'q', '-v', 'more', 'ls', 'gorkemlik', 'lo', 'rm', '-al'}"
2347,"{'lo', 'elm'}"
2348,"{'lo', '<1>', 'telnet', 'passwd'}"
2349,{'lo'}
2350,{'lo'}
2351,"{'<1>', 'telnet', 'elm', 'f', 'lo'}"
2352,"{'|', '<1>', 'elm', 'f', 'date', 'more', 'ls', 'fg', 'vi', 'lo'}"
2353,"{'|', '<1>', 'elm', 'f', 'more', 'lo'}"
2354,"{'elm', 'fg', 'date'}"
2355,"{'<1>', 'elm', 'fg', 'lo', 'rm'}"
2356,"{'lo', 'elm'}"
2357,"{'q', 'netscape', '-v', 'fg'}"
2358,"{'<1>', 'elm', 'date', 'f'}"
2359,"{'lo', 'elm'}"
2360,"{'<1>', 'elm', 'f', 'date', 'more', 'fg', 'sun', 'lo'}"
2361,"{'mv', 'cd', '<1>', ';', 'mkdir', '<2>', 'elm', 's', 'more', 'ls', 'cp', 'vi', 'lo', 'l', '-al'}"
2362,"{'sun', 'elm', 'lo'}"
2363,"{'cd', 'sc', '<1>', 's', 'ls', 'vi'}"
2364,"{'mv', 'cd', '<1>', 'elm', '<2>', 'ls', 'fg', 'vi', 'lo', '-al'}"
2365,"{'<1>', 'elm', 'fg', 'ftp', 'lo'}"
2366,"{'<1>', 'kill', 'kil', 'fg', 'jobs', 'ftp', 'lo'}"
2367,"{'<1>', 'elm', 'f', 'date', 'fg', 'lo'}"
2368,"{'ph', '<1>', 'elm', 'f', '<3>', 'fg', 'lo'}"
2369,"{'cd', '<1>', 'pwd', 'elm', 'HOME', 'more', 'ls', 'which', 'home', 'lo'}"
2370,"{'sc', '<1>', 'cd', 'elm', 'q', 's.', '-v', 's', 'ls', 'vi', 'lo'}"
2371,"{'s', 'which', 'home', 'cp', 'vi', 'lo', 'cd', 'sc', 'q', 'jobs', '-al', 'source', '<1>', 'elm', '<2>', '-v', 'more', 'fg', 'vc', '|', 'f', 'chmod', 'mroe', 'ls', 'ome', 'rm'}"
2372,"{'islandwrite', 'IslandWrite'}"
2373,"{'<1>', 'pwd', 'netscape', 'fg', 'vi'}"
2374,"{'cd', '<1>', 'gcc', '-v', 'ls', 'vi', 'lo'}"
2375,"{'ps', '|', '<1>', 'pwd', 'clear', '-e', 'kill', 'job', 'more', 'tn3270', '-9', 'jobs', '<GENSYM:4>'}"
2376,"{'<1>', 'pwd', 's', 'more', 'vi', 'noble'}"
2377,"{'elm', 'gcc', '-v', 'fg', 'lo'}"
2378,"{'cd', '<1>', 'mkdir', 'pwd', 'clear', 'q', '-v', 'more', 'ls', '-al'}"
2379,"{'<1>', 'lo', 'lp', 'mroe'}"
2380,"{'cd', '<1>', 'elm', 'q', '-v', 'ls', 'fg', 'home', 'rm', 'lo', '-als'}"
2381,"{'cd', '<1>', 'rlogin', 'ls', 'lo'}"
2382,"{'cd', '<1>', 'rlogin', 'ls', 'lo'}"
2383,"{'cd', '<1>', 'rlogin', 'ls', 'lo'}"
2384,"{'cd', '<1>', 'rlogin', 'ls', 'lo'}"
2385,"{'mv', 'cd', '<1>', '<2>', 'ls', 'lo', 'rmdir'}"
2386,"{'cd', '<1>', '<2>', 'ls', 'home', 'cp', 'lo', 'rm'}"
2387,"{'lo', 'elm'}"
2388,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo'}"
2389,"{'lo', 'elm'}"
2390,"{'lo', 'elm'}"
2391,"{'<1>', 'elm', 'cs', 'more', 'jobs', 'lo'}"
2392,"{'<', 'wc', '>', 'home', 'vi', 'lo', 'cd', 'man', '-cf', '-s', 'du', '-al', '<1>', 'elm', 'mkdir', '<2>', 'gzip', 'clear', 'more', 'fg', 'tar', 'mv', '|', 'mroe', 'uuencode', 'ls', '<3>', 'rm'}"
2393,"{'lo', 'elm'}"
2394,"{'lo', 'elm'}"
2395,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo'}"
2396,"{'|', '<1>', 'elm', 'f', 'more', 'fg', 'lo', 'telnet'}"
2397,"{'lo', 'elm', 'fg', 'ping'}"
2398,"{'lo', 'elm', 'eml'}"
2399,"{'lo', 'elm'}"
2400,"{'lo', 'elm'}"
2401,"{'mv', 'cd', 'mkdir', 'elm', '<1>', '<2>', 'q', '-v', 'ls', 'fg', 'lo', 'vi', 'telnet'}"
2402,"{'lo', 'elm'}"
2403,"{'A.OUT', 'home', 'cp', 'MAXINT', 'vi', 'lo', 'cd', 'a.ut', 'gcc', 'man', 'q', 'a.out', 'make', '<1>', 'elm', '<2>', '-v', 'more', 'ls', 'g++', 'rm'}"
2404,"{'lo', 'elm'}"
2405,"{'|', '<1>', 'elm', 'f', 'date', 'more', 'fg', 'lo'}"
2406,"{'cd', '<1>', 'elm', 'f', 'ls', 'ks', 'home', 'jobs', 'vi', 'lo'}"
2407,"{'cd', '<1>', 'elm', 'more', 'ls', 'home', 'jobs', 'vi', 'lo', 'l', '-al'}"
2408,"{'cd', '<1>', 'elm', 'make', 'clean', 'more', 'ls', 'a.out', 'home', 'vi', 'lo'}"
2409,"{'cd', '<1>', 'elm', 'ls', 'fg', 'home', 'jobs', 'vi', 'lo'}"
